Entry	Subcellular location [CC]
P21802	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein. Golgi apparatus. Cytoplasmic vesicle. Note=Detected on osteoblast plasma membrane lipid rafts. After ligand binding, the activated receptor is rapidly internalized and degraded.; SUBCELLULAR LOCATION: Isoform 1: Cell membrane; Single-pass type I membrane protein. Note=After ligand binding, the activated receptor is rapidly internalized and degraded.; SUBCELLULAR LOCATION: Isoform 3: Cell membrane; Single-pass type I membrane protein. Note=After ligand binding, the activated receptor is rapidly internalized and degraded.; SUBCELLULAR LOCATION: Isoform 14: Secreted.; SUBCELLULAR LOCATION: Isoform 19: Secreted.
P35670	SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:17919502, ECO:0000269|PubMed:22240481, ECO:0000269|PubMed:24706876}; Multi-pass membrane protein {ECO:0000255}. Late endosome {ECO:0000269|PubMed:11231950, ECO:0000269|PubMed:15681833}. Note=Predominantly found in the trans-Golgi network (TGN). Localized in the trans-Golgi network under low copper conditions, redistributes to cytoplasmic vesicles when cells are exposed to elevated copper levels, and then recycles back to the trans-Golgi network when copper is removed (PubMed:10942420). Not redistributed to the plasma membrane in response to elevated copper levels. {ECO:0000269|PubMed:10942420, ECO:0000269|PubMed:22240481, ECO:0000269|PubMed:24706876, ECO:0000269|PubMed:9307043}.; SUBCELLULAR LOCATION: Isoform 1: Golgi apparatus membrane {ECO:0000269|PubMed:9307043}; Multi-pass membrane protein {ECO:0000269|PubMed:9307043}.; SUBCELLULAR LOCATION: Isoform 2: Cytoplasm {ECO:0000269|PubMed:9307043}.; SUBCELLULAR LOCATION: WND/140 kDa: Mitochondrion {ECO:0000269|PubMed:9600907}.
P11362	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein. Nucleus. Cytoplasm, cytosol. Cytoplasmic vesicle. Note=After ligand binding, both receptor and ligand are rapidly internalized. Can translocate to the nucleus after internalization, or by translocation from the endoplasmic reticulum or Golgi apparatus to the cytosol, and from there to the nucleus.
P49769	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:P49768}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P49768}. Golgi apparatus membrane {ECO:0000250|UniProtKB:P49768}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P49768}. Cytoplasmic granule {ECO:0000250|UniProtKB:P49768}. Cell membrane {ECO:0000269|PubMed:10421573, ECO:0000269|PubMed:11517342}. Cytoplasmic vesicle {ECO:0000269|PubMed:10421573, ECO:0000305|PubMed:11517342}. Note=Translocates with bound NOTCH1 from the endoplasmic reticulum and/or Golgi to the cell surface. Colocalizes with CDH1/2 at sites of cell-cell contact. Colocalizes with CTNNB1 in the endoplasmic reticulum and the proximity of the plasma membrane. Also present in azurophil granules of neutrophils. Colocalizes with UBQLN1 in the cell membrane and in cytoplasmic juxtanuclear structures called aggresomes. {ECO:0000250|UniProtKB:P49768}.
P01130	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:17461796, ECO:0000269|PubMed:19520913}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:P01131}. Membrane, clathrin-coated pit {ECO:0000303|PubMed:6091915}. Golgi apparatus {ECO:0000269|PubMed:17461796}. Early endosome {ECO:0000269|PubMed:17461796}. Late endosome {ECO:0000269|PubMed:17461796}. Lysosome {ECO:0000269|PubMed:17461796}. Note=Rapidly endocytosed upon ligand binding. {ECO:0000269|PubMed:3104336}.
P21803	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein. Golgi apparatus {ECO:0000250}. Cytoplasmic vesicle {ECO:0000250}. Note=Detected on osteoblast plasma membrane lipid rafts. After ligand binding, the activated receptor is rapidly internalized and degraded (By similarity). {ECO:0000250}.
P04626	SUBCELLULAR LOCATION: Isoform 1: Cell membrane; Single-pass type I membrane protein. Cytoplasm, perinuclear region. Nucleus. Note=Translocation to the nucleus requires endocytosis, probably endosomal sorting and is mediated by importin beta-1/KPNB1.; SUBCELLULAR LOCATION: Isoform 2: Cytoplasm. Nucleus.; SUBCELLULAR LOCATION: Isoform 3: Cytoplasm. Nucleus.
P01375	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:16829952}; Single-pass type II membrane protein {ECO:0000269|PubMed:16829952}.; SUBCELLULAR LOCATION: Tumor necrosis factor, membrane form: Membrane; Single-pass type II membrane protein.; SUBCELLULAR LOCATION: Tumor necrosis factor, soluble form: Secreted.; SUBCELLULAR LOCATION: C-domain 1: Secreted.; SUBCELLULAR LOCATION: C-domain 2: Secreted.
P10721	SUBCELLULAR LOCATION: Isoform 1: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: Isoform 2: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: Isoform 3: Cytoplasm. Note=Detected in the cytoplasm of spermatozoa, especially in the equatorial and subacrosomal region of the sperm head.
Q13563	SUBCELLULAR LOCATION: Cell projection, cilium membrane {ECO:0000269|PubMed:18695040, ECO:0000269|PubMed:20881056, ECO:0000269|PubMed:27259053}; Multi-pass membrane protein {ECO:0000269|PubMed:27768895, ECO:0000269|PubMed:27991905, ECO:0000269|PubMed:28092368}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:10760273, ECO:0000269|PubMed:11854751, ECO:0000269|PubMed:15692563, ECO:0000269|PubMed:20881056, ECO:0000269|PubMed:28092368, ECO:0000305|PubMed:10913159}; Multi-pass membrane protein {ECO:0000269|PubMed:27768895, ECO:0000269|PubMed:27991905, ECO:0000269|PubMed:28092368}. Cell membrane {ECO:0000269|PubMed:15692563, ECO:0000269|PubMed:19556541, ECO:0000269|PubMed:26269590, ECO:0000269|PubMed:27071085, ECO:0000269|PubMed:27259053, ECO:0000269|PubMed:28092368}; Multi-pass membrane protein {ECO:0000269|PubMed:27768895, ECO:0000269|PubMed:27991905, ECO:0000269|PubMed:28092368}. Basolateral cell membrane {ECO:0000269|PubMed:10770959}. Cytoplasmic vesicle membrane {ECO:0000269|PubMed:10770959}. Note=Retained in the endoplasmic reticulum by interaction with PACS1 and PACS2 (PubMed:15692563). Detected on kidney tubule basolateral membranes and basal cytoplasmic vesicles (PubMed:10770959). Cell surface and cilium localization requires GANAB (PubMed:27259053). {ECO:0000269|PubMed:15692563, ECO:0000269|PubMed:27259053}.
P07949	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:19823924}; Single-pass type I membrane protein {ECO:0000269|PubMed:19823924}. Endosome membrane {ECO:0000269|PubMed:19823924}; Single-pass type I membrane protein {ECO:0000269|PubMed:19823924}.
Q07813	SUBCELLULAR LOCATION: Isoform Alpha: Mitochondrion outer membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}. Cytoplasm {ECO:0000250}. Note=Colocalizes with 14-3-3 proteins in the cytoplasm. Under stress conditions, undergoes a conformation change that causes release from JNK-phosphorylated 14-3-3 proteins and translocation to the mitochondrion membrane (By similarity). {ECO:0000250}.; SUBCELLULAR LOCATION: Isoform Beta: Cytoplasm {ECO:0000250}.; SUBCELLULAR LOCATION: Isoform Gamma: Cytoplasm {ECO:0000250}.
P12023	SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:15677459}; Single-pass type I membrane protein {ECO:0000269|PubMed:15677459}. Membrane, clathrin-coated pit {ECO:0000269|PubMed:15677459}. Note=Cell surface protein that rapidly becomes internalized via clathrin-coated pits. During maturation, the immature APP (N-glycosylated in the endoplasmic reticulum) moves to the Golgi complex where complete maturation occurs (O-glycosylated and sulfated). After alpha-secretase cleavage, soluble APP is released into the extracellular space and the C-terminal is internalized to endosomes and lysosomes. Some APP accumulates in secretory transport vesicles leaving the late Golgi compartment and returns to the cell surface. Gamma-CTF(59) peptide is located to both the cytoplasm and nuclei of neurons. It can be translocated to the nucleus through association with APBB1 (Fe65). Beta-APP42 associates with FPRL1 at the cell surface and the complex is then rapidly internalized (By similarity). APP sorts to the basolateral surface in epithelial cells (By similarity). During neuronal differentiation, the Thr-743 phosphorylated form is located mainly in growth cones, moderately in neurites and sparingly in the cell body. Casein kinase phosphorylation can occur either at the cell surface or within a post-Golgi compartment. Associates with GPC1 in perinuclear compartments. {ECO:0000250}.
P21817	SUBCELLULAR LOCATION: Sarcoplasmic reticulum membrane {ECO:0000269|PubMed:7556644}; Multi-pass membrane protein {ECO:0000305}. Sarcoplasmic reticulum {ECO:0000250|UniProtKB:P11716}. Note=The number of predicted transmembrane domains varies between orthologs, but the 3D-structures show the presence of six transmembrane regions. Both N-terminus and C-terminus are cytoplasmic. {ECO:0000250|UniProtKB:P11716}.
P06804	SUBCELLULAR LOCATION: Cell membrane; Single-pass type II membrane protein.; SUBCELLULAR LOCATION: Tumor necrosis factor, membrane form: Membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.; SUBCELLULAR LOCATION: Tumor necrosis factor, soluble form: Secreted.; SUBCELLULAR LOCATION: C-domain 1: Secreted {ECO:0000250}.; SUBCELLULAR LOCATION: C-domain 2: Secreted {ECO:0000250}.
P06213	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein.
P34968	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
P29275	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8K440	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Q9BZC7	SUBCELLULAR LOCATION: Endosome membrane {ECO:0000269|PubMed:11309290}; Multi-pass membrane protein {ECO:0000269|PubMed:11309290}. Lysosome membrane {ECO:0000269|PubMed:11309290}; Multi-pass membrane protein {ECO:0000269|PubMed:11309290}. Note=Forms discrete, punctate intracellular vesicles.
Q8R420	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
O35600	SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Note=Localized to outer segment disk edges of rods and cones, with around one million copies/photoreceptor. {ECO:0000250}.
Q8K448	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Lysosome membrane {ECO:0000269|PubMed:15870284}; Multi-pass membrane protein {ECO:0000269|PubMed:15870284}. Late endosome membrane {ECO:0000269|PubMed:15870284}; Multi-pass membrane protein {ECO:0000269|PubMed:15870284}.
Q8K441	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q8WWZ4	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q86UQ4	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q9CXJ4	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441}.
Q9JI39	SUBCELLULAR LOCATION: Mitochondrion inner membrane; Multi-pass membrane protein.
O95342	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.
Q96J66	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:19383836, ECO:0000269|PubMed:25896536}; Multi-pass membrane protein {ECO:0000255}. Vacuole membrane {ECO:0000269|PubMed:19383836}. Cytoplasmic vesicle membrane {ECO:0000269|PubMed:25896536}.
P33897	SUBCELLULAR LOCATION: Peroxisome membrane; Multi-pass membrane protein.
Q91X60	SUBCELLULAR LOCATION: Cell junction, synapse, postsynaptic cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Q8R4G9	SUBCELLULAR LOCATION: Cell junction, synapse, postsynaptic cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
P36544	SUBCELLULAR LOCATION: Cell junction, synapse, postsynaptic cell membrane; Multi-pass membrane protein. Cell membrane; Multi-pass membrane protein.
P17787	SUBCELLULAR LOCATION: Cell junction, synapse, postsynaptic cell membrane; Multi-pass membrane protein. Cell membrane; Multi-pass membrane protein.
P11229	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein. Cell junction, synapse, postsynaptic cell membrane; Multi-pass membrane protein.
Q9ERZ4	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Cell junction, synapse, postsynaptic cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Note=Phosphorylation in response to agonist binding promotes receptor internalization. {ECO:0000250}.
Q9ERZ3	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Cell junction, synapse, postsynaptic cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Basolateral cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
P08173	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein. Cell junction, synapse, postsynaptic cell membrane; Multi-pass membrane protein.
Q9CZW4	SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Peroxisome membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Microsome membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Endoplasmic reticulum membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}.
Q8JZR0	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250}. Endoplasmic reticulum {ECO:0000250}. Mitochondrion outer membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Endoplasmic reticulum membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}.
Q9UKU0	SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Peroxisome membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Microsome membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Endoplasmic reticulum membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}.
Q8K348	SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}.
Q61288	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P37023}; Single-pass type I membrane protein {ECO:0000255}.
P18825	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8K410	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.
Q61072	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:25795784, ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.
Q80V03	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
P97490	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.
P04439	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
P13746	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
P18462	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
P16188	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
P30457	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
P10316	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
Q09160	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
P30460	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
P30685	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
P08195	SUBCELLULAR LOCATION: Apical cell membrane; Single-pass type II membrane protein. Melanosome. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV. Localized to the plasma membrane when associated with SLC7A5 or SLC7A8. Localized to the placental apical membrane. Located selectively at cell-cell adhesion sites (By similarity). Colocalized with SLC7A8/LAT2 at the basolateral membrane of kidney proximal tubules and small intestine epithelia. Expressed in both luminal and abluminal membranes of brain capillary endothelial cells (By similarity). {ECO:0000250}.
P28222	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10452531, ECO:0000269|PubMed:1315531, ECO:0000269|PubMed:1328844, ECO:0000269|PubMed:1348246, ECO:0000269|PubMed:1351684, ECO:0000269|PubMed:1559993, ECO:0000269|PubMed:1565658, ECO:0000269|PubMed:1610347, ECO:0000269|PubMed:23519210, ECO:0000269|PubMed:23519215}; Multi-pass membrane protein {ECO:0000269|PubMed:10452531, ECO:0000269|PubMed:1315531, ECO:0000269|PubMed:1328844, ECO:0000269|PubMed:1348246, ECO:0000269|PubMed:1351684, ECO:0000269|PubMed:1559993, ECO:0000269|PubMed:1565658, ECO:0000269|PubMed:1610347, ECO:0000269|PubMed:23519210, ECO:0000269|PubMed:23519215}.
P28221	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10452531, ECO:0000269|PubMed:1565658, ECO:0000269|PubMed:1652050}; Multi-pass membrane protein {ECO:0000269|PubMed:10452531, ECO:0000269|PubMed:1565658, ECO:0000269|PubMed:1652050}.
P35363	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21645528}; Multi-pass membrane protein {ECO:0000305}. Cell projection, dendrite {ECO:0000269|PubMed:11960784}. Cell projection, axon {ECO:0000250|UniProtKB:P14842}. Cytoplasmic vesicle {ECO:0000269|PubMed:11960784}. Membrane, caveola {ECO:0000250|UniProtKB:P14842}. Note=Localizes to the postsynaptic thickening of axo-dendritic synapses.
O95264	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21138434}; Multi-pass membrane protein {ECO:0000269|PubMed:21138434}. Note=Presumably retained within the endoplasmic reticulum unless complexed with HTR3A.
P31387	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
P56379	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250}. Mitochondrion membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
Q8K442	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
P41234	SUBCELLULAR LOCATION: Endosome membrane; Multi-pass membrane protein. Lysosome membrane; Multi-pass membrane protein. Note=Forms discrete, punctate intracellular vesicles. {ECO:0000250}.
Q8IZY2	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12917409, ECO:0000269|PubMed:14592415}; Multi-pass membrane protein {ECO:0000255}. Golgi apparatus membrane {ECO:0000250|UniProtKB:Q91V24}; Multi-pass membrane protein {ECO:0000255}. Early endosome membrane {ECO:0000250|UniProtKB:Q91V24}; Multi-pass membrane protein {ECO:0000255}. Note=Localizes to cell membrane ruffles and phagocytic cups of macrophages stimulated with C1q or apoptotic cells. Localizes to the cytoplasm of resting macrophages, probably in Golgi and endosomes. Localizes to the apical brush border of cells in the proximal tubules of kidney (By similarity). Isoform 2 may localize to the endoplasmic reticulum (PubMed:14592415). {ECO:0000250|UniProtKB:Q91V24, ECO:0000269|PubMed:14592415}.
Q8K449	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
B5X0E4	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:25030174}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441, ECO:0000269|PubMed:25030174}.
Q9NP58	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:17661442, ECO:0000269|PubMed:23180570}; Multi-pass membrane protein {ECO:0000255}. Mitochondrion outer membrane {ECO:0000269|PubMed:17006453, ECO:0000269|PubMed:17661442, ECO:0000305|PubMed:10837493}; Multi-pass membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:18279659, ECO:0000269|PubMed:22226084}; Multi-pass membrane protein {ECO:0000255}. Golgi apparatus membrane {ECO:0000269|PubMed:18279659, ECO:0000269|PubMed:22226084}; Multi-pass membrane protein {ECO:0000255}. Endosome membrane {ECO:0000250|UniProtKB:Q9DC29}; Multi-pass membrane protein {ECO:0000255}. Note=localized to the endosome-like compartement and dendrite tips. {ECO:0000250|UniProtKB:Q9DC29}.
